#,case_id,product,d_type,supplier,jira_request,required_by,received_date,m_lead_time_in_weeks,m_lead_time_in_days,item_type,next_delivery_date,d_created,updated,location,total_amount,tax_amount
1287,PO20-4950_8001975,BOLT-INTERNAL TORX-CYLINDRICAL-M8X20-S,Advanced Purchase,066348ca36da8b86c527037e0102462c,PRCH-7205,18/9/2020,7/10/2020,8,56,Purchased,30/11/2020,2020-09-11 00:00:00.000000,2020-10-07 09:08:32.880000,UK/Banbury/Main stores,367.714,61.2856666666666667
1288,PO20-4959_1005467,BRKT STEERING RHD RH SUBFRAME,Advanced Purchase,462b993ed903457289264a1392209adc,PRCH-7158,5/10/2020,22/10/2020,2,14,Manufactured Item,,2020-09-11 00:00:00.000000,2020-11-18 14:35:36.070000,UK/Banbury/Main stores,1493.842,248.9736666666666667
1289,PO20-4950_8002070,RIVET-STR FLANGE 4.8X14 ZINC PLATED STEEL,Advanced Purchase,066348ca36da8b86c527037e0102462c,PRCH-7205,18/9/2020,30/9/2020,3,21,Purchased,25/9/2020,2020-09-11 00:00:00.000000,2020-10-07 09:08:32.880000,UK/Banbury/Main stores,367.714,61.2856666666666667
1290,PO20-4950_8002073,RIVET-STR COUNTERSUNK 4.8X14 ZINC PLATED STEEL,Advanced Purchase,066348ca36da8b86c527037e0102462c,PRCH-7205,18/9/2020,30/9/2020,3,21,Purchased,25/9/2020,2020-09-11 00:00:00.000000,2020-10-07 09:08:32.880000,UK/Banbury/Main stores,367.714,61.2856666666666667
1291,PO20-4950_8001348,"HEX SOCKET C-SUNK HEAD SCREW, DIN,M8X20",Advanced Purchase,066348ca36da8b86c527037e0102462c,PRCH-7205,18/9/2020,5/10/2020,6,42,Consumable,,2020-09-11 00:00:00.000000,2020-10-07 09:08:32.880000,UK/Banbury/Main stores,367.714,61.2856666666666667
1292,PO20-4950_1010864,M16 X 1.5 X 60MM HEXAGONAL HEAD BOLT,Advanced Purchase,066348ca36da8b86c527037e0102462c,PRCH-7205,18/9/2020,5/10/2020,3,21,Purchased,25/9/2020,2020-09-11 00:00:00.000000,2020-10-07 09:08:32.880000,UK/Banbury/Main stores,367.714,61.2856666666666667
1293,PO20-6659_1037882,P6 Battery Cooling Plate,Advanced Purchase,71afee3bf32ada20e3a1931e6a1dbfc2,PRCH-8654,21/12/2020,,0,0,,21/12/2020,2020-11-09 00:00:00.000000,2020-11-09 07:32:44.827000,UK/Banbury/Main stores,884.1,147.35
1294,PO20-7613_104257-3,"Connector Housing, AMPMODU MTE Series, Receptacle, 4 Ways, 2.54 mm, MTE Contacts",Advanced Purchase,91cd489c7d055f68e2240737e68a9afe,PRCH-9240,,10/12/2020,0,0,,,2020-12-09 00:00:00.000000,2020-12-10 07:42:04.677000,UK/Banbury/Main stores,15.672,2.612
1295,PO20-5063_8002253,CLIP-SNAP LOCK PIN 2.5X8,Advanced Purchase,d476dc5777e8406aba13cabad882f32a,FREE SAMPLES,16/9/2020,17/9/2020,6,42,Purchased,,2020-09-15 00:00:00.000000,2020-09-17 03:09:51.203000,UK/Banbury/Main stores,,
1296,PO20-6443_1040082,BETA P6 - SUBFRAME - FRONT T BAR,Advanced Purchase,46976edf3060ee19825ea4376a304331, Adam Green,25/1/2021,18/1/2021,0,0,,,2020-11-02 00:00:00.000000,2020-11-03 12:36:03.863000,UK/Banbury/Main stores,11449.376,1908.2293333333333333
